,Date,State/UnionTerritory,Deaths,Confirmed,StatePopulation,DaysCovariate,DateI
0,2020/01/22,Japan,0,0.000002,125950000,0,0
1,2020/01/23,Japan,0,0.000002,125950000,0,1
2,2020/01/24,Japan,0,0.000002,125950000,0,2
3,2020/01/25,Japan,0,0.000002,125950000,0,3
4,2020/01/26,Japan,0,0.000004,125950000,0,4
5,2020/01/27,Japan,0,0.000004,125950000,0,5
6,2020/01/28,Japan,0,0.000007,125950000,0,6
7,2020/01/29,Japan,0,0.000007,125950000,0,7
8,2020/01/30,Japan,0,0.000011,125950000,0,8
9,2020/01/31,Japan,0,0.000015,125950000,0,9
10,2020/02/01,Japan,0,0.00002,125950000,0,10
11,2020/02/02,Japan,0,0.00002,125950000,0,11
12,2020/02/03,Japan,0,0.00002,125950000,0,12
13,2020/02/04,Japan,0,0.000022,125950000,0,13
14,2020/02/05,Japan,0,0.000022,125950000,0,14
15,2020/02/06,Japan,0,0.000022,125950000,0,15
16,2020/02/07,Japan,0,0.000025,125950000,0,16
17,2020/02/08,Japan,0,0.000025,125950000,0,17
18,2020/02/09,Japan,0,0.000026,125950000,0,18
19,2020/02/10,Japan,0,0.000026,125950000,0,19
20,2020/02/11,Japan,0,0.000026,125950000,0,20
21,2020/02/12,Japan,0,0.000028,125950000,0,21
22,2020/02/13,Japan,0.000001,0.000028,125950000,0,22
23,2020/02/14,Japan,0.000001,0.000029,125950000,0,23
24,2020/02/15,Japan,0.000001,0.000043,125950000,0,24
25,2020/02/16,Japan,0.000001,0.000059,125950000,0,25
26,2020/02/17,Japan,0.000001,0.000066,125950000,0,26
27,2020/02/18,Japan,0.000001,0.000074,125950000,0,27
28,2020/02/19,Japan,0.000001,0.000084,125950000,0,28
29,2020/02/20,Japan,0.000001,0.000094,125950000,0,29
30,2020/02/21,Japan,0.000001,0.000105,125950000,0,30
31,2020/02/22,Japan,0.000001,0.000122,125950000,0,31
32,2020/02/23,Japan,0.000001,0.000147,125950000,0,32
33,2020/02/24,Japan,0.000001,0.000159,125950000,0,33
34,2020/02/25,Japan,0.000001,0.00017,125950000,0,34
35,2020/02/26,Japan,0.000002,0.000189,125950000,0,35
36,2020/02/27,Japan,0.000004,0.000214,125950000,0,36
37,2020/02/28,Japan,0.000004,0.000228,125950000,0,37
38,2020/02/29,Japan,0.000005,0.000241,125950000,0,38
39,2020/03/01,Japan,0.000006,0.000256,125950000,0,39
40,2020/03/02,Japan,0.000006,0.000274,125950000,0,40
41,2020/03/03,Japan,0.000006,0.000293,125950000,0,41
42,2020/03/04,Japan,0.000006,0.000331,125950000,0,42
43,2020/03/05,Japan,0.000006,0.00036,125950000,0,43
44,2020/03/06,Japan,0.000006,0.00042,125950000,0,44
45,2020/03/07,Japan,0.000006,0.000461,125950000,0,45
46,2020/03/08,Japan,0.000006,0.000502,125950000,0,46
47,2020/03/09,Japan,0.00001,0.000511,125950000,0,47
48,2020/03/10,Japan,0.00001,0.000581,125950000,0,48
49,2020/03/11,Japan,0.000015,0.000639,125950000,0,49
50,2020/03/12,Japan,0.000016,0.000639,125950000,0,50
51,2020/03/13,Japan,0.000019,0.000701,125950000,0,51
52,2020/03/14,Japan,0.000022,0.000773,125950000,0,52
53,2020/03/15,Japan,0.000022,0.000839,125950000,0,53
54,2020/03/16,Japan,0.000027,0.000839,125950000,0,54
55,2020/03/17,Japan,0.000029,0.000878,125950000,0,55
56,2020/03/18,Japan,0.000029,0.000889,125950000,0,56
57,2020/03/19,Japan,0.000029,0.000924,125950000,0,57
58,2020/03/20,Japan,0.000033,0.000963,125950000,0,58
59,2020/03/21,Japan,0.000035,0.001007,125950000,0,59
60,2020/03/22,Japan,0.000041,0.001101,125950000,0,60
61,2020/03/23,Japan,0.000042,0.001128,125950000,0,61
62,2020/03/24,Japan,0.000043,0.001193,125950000,0,62
63,2020/03/25,Japan,0.000045,0.001307,125950000,0,63
64,2020/03/26,Japan,0.000047,0.001387,125950000,0,64
65,2020/03/27,Japan,0.000049,0.001468,125950000,0,65
66,2020/03/28,Japan,0.000052,0.001693,125950000,0,66
67,2020/03/29,Japan,0.000054,0.001866,125950000,0,67
68,2020/03/30,Japan,0.000054,0.001866,125950000,0,68
69,2020/03/31,Japan,0.000056,0.001953,125950000,0,69
70,2020/04/01,Japan,0.000057,0.002178,125950000,0,70
71,2020/04/02,Japan,0.000062,0.002495,125950000,0,71
72,2020/04/03,Japan,0.000063,0.002617,125950000,0,72
73,2020/04/04,Japan,0.000077,0.003139,125950000,0,73
74,2020/04/05,Japan,0.000077,0.003139,125950000,0,74
0,2020/01/31,Hubei,3.487179487,99.24786325,58500000,3.006,0
1,2020/02/01,Hubei,4.256410256,122.2735043,58500000,3.34,1
2,2020/02/02,Hubei,5.982905983,191.0598291,58500000,3.674,2
3,2020/02/03,Hubei,7.076923077,231.1452991,58500000,4.008,3
4,2020/02/04,Hubei,8.188034188,285.0940171,58500000,4.342,4
5,2020/02/05,Hubei,9.384615385,336.1538462,58500000,4.676,5
6,2020/02/06,Hubei,10.56410256,377.982906,58500000,5.01,6
7,2020/02/07,Hubei,11.94871795,426.5470085,58500000,5.344,7
8,2020/02/08,Hubei,13.33333333,463.2478632,58500000,5.678,8
9,2020/02/09,Hubei,14.88888889,506.5128205,58500000,6.012,9
10,2020/02/10,Hubei,16.64957265,542.3589744,58500000,6.346,10
11,2020/02/11,Hubei,18.25641026,570.3589744,58500000,6.68,11
12,2020/02/12,Hubei,18.25641026,570.3589744,58500000,7.014,12
13,2020/02/13,Hubei,22.39316239,824.034188,58500000,7.348,13
14,2020/02/14,Hubei,24.90598291,930.017094,58500000,7.682,14
15,2020/02/15,Hubei,27.28205128,961.5213675,58500000,8.016,15
16,2020/02/16,Hubei,28.99145299,994.5641026,58500000,8.35,16
17,2020/02/17,Hubei,30.58119658,1025.452991,58500000,8.684,17
18,2020/02/18,Hubei,32.83760684,1054.393162,58500000,9.018,18
19,2020/02/19,Hubei,34.68376068,1060.358974,58500000,9.352,19
20,2020/02/20,Hubei,36.64957265,1067.384615,58500000,9.686,20
21,2020/02/21,Hubei,36.64957265,1071.145299,58500000,10.02,21
22,2020/02/22,Hubei,40.1025641,1095.452991,58500000,10.354,22
23,2020/02/23,Hubei,40.1025641,1095.452991,58500000,10.688,23
24,2020/02/24,Hubei,42.64957265,1098.923077,58500000,11.022,24
25,2020/02/25,Hubei,43.81196581,1107.452991,58500000,11.356,25
26,2020/02/26,Hubei,44.7008547,1114.307692,58500000,11.69,26
27,2020/02/27,Hubei,45.14529915,1121.299145,58500000,12.024,27
28,2020/02/28,Hubei,45.84615385,1126.735043,58500000,12.358,28
29,2020/02/29,Hubei,46.61538462,1133.965812,58500000,12.692,29
30,2020/03/01,Hubei,47.1965812,1143.709402,58500000,13.026,30
31,2020/03/02,Hubei,47.91452991,1147.059829,58500000,13.36,31
32,2020/03/03,Hubei,48.46153846,1149.008547,58500000,13.694,32
33,2020/03/04,Hubei,49.07692308,1150.974359,58500000,14.028,33
34,2020/03/05,Hubei,49.60683761,1153.264957,58500000,14.362,34
35,2020/03/06,Hubei,50.1025641,1155.418803,58500000,14.696,35
36,2020/03/07,Hubei,50.58119658,1156.683761,58500000,15.03,36
37,2020/03/08,Hubei,51.04273504,1157.384615,58500000,15.364,37
38,2020/03/09,Hubei,51.41880342,1158,58500000,15.698,38
39,2020/03/10,Hubei,51.69230769,1158.290598,58500000,16.032,39
40,2020/03/11,Hubei,52.06837607,1158.512821,58500000,16.366,40
41,2020/03/12,Hubei,52.23931624,1158.649573,58500000,16.7,41
42,2020/03/13,Hubei,52.34188034,1158.735043,58500000,17.034,42
43,2020/03/14,Hubei,52.56410256,1158.803419,58500000,17.368,43
44,2020/03/15,Hubei,52.73504274,1158.871795,58500000,17.702,44
45,2020/03/16,Hubei,52.97435897,1158.940171,58500000,18.036,45
46,2020/03/17,Hubei,53.17948718,1158.957265,58500000,18.37,46
47,2020/03/18,Hubei,53.36752137,1158.974359,58500000,18.704,47
48,2020/03/19,Hubei,53.5042735,1158.974359,58500000,19.038,48
49,2020/03/20,Hubei,53.55555556,1158.974359,58500000,19.372,49
50,2020/03/21,Hubei,53.65811966,1158.974359,58500000,19.706,50
51,2020/03/22,Hubei,53.8974359,1158.974359,58500000,20.04,51
52,2020/03/23,Hubei,53.8974359,1158.974359,58500000,20.374,52
53,2020/03/24,Hubei,54.01709402,1158.991453,58500000,20.708,53
54,2020/03/25,Hubei,54.06837607,1158.991453,58500000,21.042,54
55,2020/03/26,Hubei,54.17094017,1158.991453,58500000,21.376,55
56,2020/03/27,Hubei,54.25641026,1158.991453,58500000,21.71,56
57,2020/03/28,Hubei,54.30769231,1158.991453,58500000,22.044,57
58,2020/03/29,Hubei,54.39316239,1158.991453,58500000,22.378,58
59,2020/03/30,Hubei,54.46153846,1158.991453,58500000,22.712,59
60,2020/03/31,Hubei,54.47863248,1158.991453,58500000,23.046,60
61,2020/04/01,Hubei,54.58119658,1159.008547,58500000,23.38,61
62,2020/04/02,Hubei,54.68376068,1159.008547,58500000,23.714,62
63,2020/04/03,Hubei,54.75213675,1159.008547,58500000,24.048,63